date,hospitalized
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,5
2020-03-20,7
2020-03-21,6
2020-03-22,9
2020-03-23,10
2020-03-24,17
2020-03-25,22
2020-03-26,25
2020-03-27,25
2020-03-28,29
2020-03-29,32
2020-03-30,41
2020-03-31,44
2020-04-01,52
2020-04-02,56
2020-04-03,57
2020-04-04,63
2020-04-05,65
2020-04-06,69
2020-04-07,69
2020-04-08,70
2020-04-09,71
2020-04-10,75
2020-04-11,76
2020-04-12,75
2020-04-13,81
2020-04-14,82
2020-04-15,80
2020-04-16,80

