,date,Metro,hospitalized,stay_home,stay_home_str,datetime,hour
0,2020-04-02,"Houston-The Woodlands-Sugar Land, TX",399,2020-03-24,20200324,2020-04-02,0
1,2020-04-03,"Houston-The Woodlands-Sugar Land, TX",426,2020-03-24,20200324,2020-04-03,0
2,2020-04-04,"Houston-The Woodlands-Sugar Land, TX",464,2020-03-24,20200324,2020-04-04,0
3,2020-04-05,"Houston-The Woodlands-Sugar Land, TX",456,2020-03-24,20200324,2020-04-05,0
4,2020-04-06,"Houston-The Woodlands-Sugar Land, TX",517,2020-03-24,20200324,2020-04-06,0
5,2020-04-07,"Houston-The Woodlands-Sugar Land, TX",601,2020-03-24,20200324,2020-04-07,0
6,2020-04-08,"Houston-The Woodlands-Sugar Land, TX",652,2020-03-24,20200324,2020-04-08,0
7,2020-04-09,"Houston-The Woodlands-Sugar Land, TX",611,2020-03-24,20200324,2020-04-09,0
8,2020-04-10,"Houston-The Woodlands-Sugar Land, TX",549,2020-03-24,20200324,2020-04-10,0
9,2020-04-11,"Houston-The Woodlands-Sugar Land, TX",549,2020-03-24,20200324,2020-04-11,0
10,2020-04-12,"Houston-The Woodlands-Sugar Land, TX",629,2020-03-24,20200324,2020-04-12,0
11,2020-04-13,"Houston-The Woodlands-Sugar Land, TX",624,2020-03-24,20200324,2020-04-13,0
12,2020-04-14,"Houston-The Woodlands-Sugar Land, TX",432,2020-03-24,20200324,2020-04-14,0
13,2020-04-15,"Houston-The Woodlands-Sugar Land, TX",395,2020-03-24,20200324,2020-04-15,0
14,2020-04-16,"Houston-The Woodlands-Sugar Land, TX",422,2020-03-24,20200324,2020-04-16,0
15,2020-04-17,"Houston-The Woodlands-Sugar Land, TX",621,2020-03-24,20200324,2020-04-17,0
16,2020-04-18,"Houston-The Woodlands-Sugar Land, TX",569,2020-03-24,20200324,2020-04-18,0
17,2020-04-19,"Houston-The Woodlands-Sugar Land, TX",608,2020-03-24,20200324,2020-04-19,0
18,2020-04-20,"Houston-The Woodlands-Sugar Land, TX",589,2020-03-24,20200324,2020-04-20,0
