,date,Metro,hospitalized,stay_home,stay_home_str,datetime,hour
0,2020-04-02,"Beaumont-Port Arthur, TX",14.0,2020-04-02,20200402,2020-04-02,0
1,2020-04-03,"Beaumont-Port Arthur, TX",16.0,2020-04-02,20200402,2020-04-03,0
2,2020-04-04,"Beaumont-Port Arthur, TX",20.0,2020-04-02,20200402,2020-04-04,0
3,2020-04-05,"Beaumont-Port Arthur, TX",18.0,2020-04-02,20200402,2020-04-05,0
4,2020-04-06,"Beaumont-Port Arthur, TX",25.0,2020-04-02,20200402,2020-04-06,0
5,2020-04-07,"Beaumont-Port Arthur, TX",22.0,2020-04-02,20200402,2020-04-07,0
6,2020-04-08,"Beaumont-Port Arthur, TX",34.0,2020-04-02,20200402,2020-04-08,0
7,2020-04-09,"Beaumont-Port Arthur, TX",17.0,2020-04-02,20200402,2020-04-09,0
8,2020-04-10,"Beaumont-Port Arthur, TX",33.0,2020-04-02,20200402,2020-04-10,0
9,2020-04-11,"Beaumont-Port Arthur, TX",29.0,2020-04-02,20200402,2020-04-11,0
10,2020-04-12,"Beaumont-Port Arthur, TX",44.0,2020-04-02,20200402,2020-04-12,0
11,2020-04-13,"Beaumont-Port Arthur, TX",38.0,2020-04-02,20200402,2020-04-13,0
12,2020-04-14,"Beaumont-Port Arthur, TX",28.0,2020-04-02,20200402,2020-04-14,0
13,2020-04-15,"Beaumont-Port Arthur, TX",26.0,2020-04-02,20200402,2020-04-15,0
14,2020-04-16,"Beaumont-Port Arthur, TX",44.0,2020-04-02,20200402,2020-04-16,0
15,2020-04-17,"Beaumont-Port Arthur, TX",28.0,2020-04-02,20200402,2020-04-17,0
16,2020-04-18,"Beaumont-Port Arthur, TX",44.0,2020-04-02,20200402,2020-04-18,0
17,2020-04-19,"Beaumont-Port Arthur, TX",38.0,2020-04-02,20200402,2020-04-19,0
18,2020-04-20,"Beaumont-Port Arthur, TX",36.0,2020-04-02,20200402,2020-04-20,0
