County,FIPS,Date,"Confirmed in 
Gen/Iso Beds","Confirmed 
in ICU","Combined
Beds"
Austin,48015,04/02/20,0,0,0
Austin,48015,04/03/20,0,0,0
Austin,48015,04/04/20,0,0,0
Austin,48015,04/05/20,0,0,0
Austin,48015,04/06/20,0,0,0
Austin,48015,04/07/20,0,0,0
Austin,48015,04/08/20,0,0,0
Austin,48015,04/09/20,0,0,0
Austin,48015,04/10/20,0,0,0
Austin,48015,04/11/20,0,0,0
Austin,48015,04/12/20,0,0,0
Austin,48015,04/13/20,0,0,0
Austin,48015,04/14/20,0,0,0
Austin,48015,04/15/20,0,0,0
Austin,48015,04/16/20,0,0,0
Austin,48015,04/17/20,0,0,0
Austin,48015,04/18/20,0,0,0
Austin,48015,04/19/20,0,0,0
Austin,48015,04/20/20,0,0,0
Austin,48015,04/21/20,0,0,0
Austin,48015,04/22/20,0,0,0
Austin,48015,04/23/20,0,0,0
Austin,48015,04/24/20,0,0,0
Austin,48015,04/25/20,0,0,0
Austin,48015,04/26/20,0,0,0
Austin,48015,04/27/20,0,0,0
Austin,48015,04/28/20,0,0,0
Austin,48015,04/29/20,0,0,0
Austin,48015,04/30/20,0,0,0
Austin,48015,05/01/20,0,0,0
Austin,48015,05/02/20,0,0,0
Austin,48015,05/03/20,0,0,0
Austin,48015,05/04/20,0,0,0
Austin,48015,05/05/20,0,0,0
Austin,48015,05/06/20,0,0,0
Austin,48015,05/07/20,0,0,0
Austin,48015,05/08/20,0,0,0
Austin,48015,05/09/20,0,0,0
Austin,48015,05/10/20,0,0,0
Austin,48015,05/11/20,0,0,0
Austin,48015,05/12/20,0,0,0
Austin,48015,05/13/20,0,0,0
Austin,48015,05/14/20,0,0,0
Austin,48015,05/15/20,0,0,0
Brazoria,48039,04/02/20,5,3,8
Brazoria,48039,04/03/20,2,4,6
Brazoria,48039,04/04/20,3,3,6
Brazoria,48039,04/05/20,3,5,8
Brazoria,48039,04/06/20,6,8,14
Brazoria,48039,04/07/20,6,3,9
Brazoria,48039,04/08/20,4,3,7
Brazoria,48039,04/09/20,3,3,6
Brazoria,48039,04/10/20,3,3,6
Brazoria,48039,04/11/20,3,4,7
Brazoria,48039,04/12/20,2,5,7
Brazoria,48039,04/13/20,3,4,7
Brazoria,48039,04/14/20,3,3,6
Brazoria,48039,04/15/20,7,4,11
Brazoria,48039,04/16/20,7,3,10
Brazoria,48039,04/17/20,6,3,9
Brazoria,48039,04/18/20,2,3,5
Brazoria,48039,04/19/20,2,3,5
Brazoria,48039,04/20/20,2,3,5
Brazoria,48039,04/21/20,2,3,5
Brazoria,48039,04/22/20,0,3,3
Brazoria,48039,04/23/20,1,3,4
Brazoria,48039,04/24/20,2,0,2
Brazoria,48039,04/25/20,3,4,7
Brazoria,48039,04/26/20,5,2,7
Brazoria,48039,04/27/20,5,1,6
Brazoria,48039,04/28/20,5,1,6
Brazoria,48039,04/29/20,5,2,7
Brazoria,48039,04/30/20,4,0,4
Brazoria,48039,05/01/20,3,0,3
Brazoria,48039,05/02/20,4,0,4
Brazoria,48039,05/03/20,6,0,6
Brazoria,48039,05/04/20,4,0,4
Brazoria,48039,05/05/20,0,0,0
Brazoria,48039,05/06/20,3,0,3
Brazoria,48039,05/07/20,3,1,4
Brazoria,48039,05/08/20,2,1,3
Brazoria,48039,05/09/20,2,1,3
Brazoria,48039,05/10/20,1,1,2
Brazoria,48039,05/11/20,4,0,4
Brazoria,48039,05/12/20,7,0,7
Brazoria,48039,05/13/20,4,2,6
Brazoria,48039,05/14/20,6,4,10
Brazoria,48039,05/15/20,6,2,8
Chambers,48071,04/02/20,0,0,0
Chambers,48071,04/03/20,0,0,0
Chambers,48071,04/04/20,0,0,0
Chambers,48071,04/05/20,0,0,0
Chambers,48071,04/06/20,0,0,0
Chambers,48071,04/07/20,0,0,0
Chambers,48071,04/08/20,0,0,0
Chambers,48071,04/09/20,0,0,0
Chambers,48071,04/10/20,0,0,0
Chambers,48071,04/11/20,0,0,0
Chambers,48071,04/12/20,0,0,0
Chambers,48071,04/13/20,0,0,0
Chambers,48071,04/13/20,0,0,0
Chambers,48071,04/14/20,0,0,0
Chambers,48071,04/15/20,0,0,0
Chambers,48071,04/16/20,0,0,0
Chambers,48071,04/17/20,0,0,0
Chambers,48071,04/18/20,0,0,0
Chambers,48071,04/19/20,0,0,0
Chambers,48071,04/20/20,0,0,0
Chambers,48071,04/21/20,0,0,0
Chambers,48071,04/22/20,0,0,0
Chambers,48071,04/23/20,0,0,0
Chambers,48071,04/24/20,0,0,0
Chambers,48071,04/25/20,0,0,0
Chambers,48071,04/26/20,0,0,0
Chambers,48071,04/27/20,0,0,0
Chambers,48071,04/28/20,0,0,0
Chambers,48071,04/29/20,0,0,0
Chambers,48071,04/30/20,0,0,0
Chambers,48071,05/01/20,0,0,0
Chambers,48071,05/02/20,0,0,0
Chambers,48071,05/03/20,0,0,0
Chambers,48071,05/04/20,0,0,0
Chambers,48071,05/05/20,0,0,0
Chambers,48071,05/06/20,0,0,0
Chambers,48071,05/07/20,0,0,0
Chambers,48071,05/08/20,0,0,0
Chambers,48071,05/09/20,0,0,0
Chambers,48071,05/10/20,0,0,0
Chambers,48071,05/11/20,0,0,0
Chambers,48071,05/12/20,0,0,0
Chambers,48071,05/13/20,0,0,0
Chambers,48071,05/14/20,0,0,0
Chambers,48071,05/15/20,0,0,0
Fort Bend,48157,04/02/20,18,13,31
Fort Bend,48157,04/03/20,24,21,45
Fort Bend,48157,04/04/20,30,27,57
Fort Bend,48157,04/05/20,22,14,36
Fort Bend,48157,04/06/20,32,18,50
Fort Bend,48157,04/07/20,22,30,52
Fort Bend,48157,04/08/20,40,18,58
Fort Bend,48157,04/09/20,39,41,80
Fort Bend,48157,04/10/20,32,17,49
Fort Bend,48157,04/11/20,37,18,55
Fort Bend,48157,04/12/20,34,19,53
Fort Bend,48157,04/13/20,35,3,38
Fort Bend,48157,04/14/20,38,23,61
Fort Bend,48157,04/15/20,21,19,40
Fort Bend,48157,04/16/20,23,18,41
Fort Bend,48157,04/17/20,34,28,62
Fort Bend,48157,04/18/20,20,19,39
Fort Bend,48157,04/19/20,24,19,43
Fort Bend,48157,04/20/20,19,17,36
Fort Bend,48157,04/21/20,19,17,36
Fort Bend,48157,04/22/20,22,22,44
Fort Bend,48157,04/23/20,14,9,23
Fort Bend,48157,04/24/20,15,10,25
Fort Bend,48157,04/25/20,20,9,29
Fort Bend,48157,04/26/20,25,8,33
Fort Bend,48157,04/27/20,20,9,29
Fort Bend,48157,04/28/20,22,10,32
Fort Bend,48157,04/29/20,19,10,29
Fort Bend,48157,04/30/20,15,9,24
